Away,Home
ClevelandGuardians,CincinnatiReds
BostonRedSox,DetroitTigers
LosAngelesDodgers,MinnesotaTwins
TorontoBlueJays,NewYorkYankees
NewYorkMets,PhiladelphiaPhillies
ChicagoCubs,PittsburghPirates
SanDiegoPadres,SanFranciscoGiants
OaklandAthletics,TampaBayRays
SeattleMariners,ChicagoWhiteSox
ChicagoCubs,ColoradoRockies
DetroitTigers,KansasCityRoyals
CincinnatiReds,LosAngelesDodgers
PhiladelphiaPhillies,MiamiMarlins
St.LouisCardinals,MilwaukeeBrewers
TorontoBlueJays,NewYorkYankees
WashingtonNationals,PittsburghPirates
AtlantaBraves,SanDiegoPadres
OaklandAthletics,TampaBayRays
LosAngelesAngels,TexasRangers
NewYorkYankees,BaltimoreOrioles
MinnesotaTwins,BostonRedSox
TampaBayRays,ChicagoWhiteSox
SanFranciscoGiants,ClevelandGuardians
ChicagoCubs,ColoradoRockies
DetroitTigers,KansasCityRoyals
CincinnatiReds,LosAngelesDodgers
PhiladelphiaPhillies,MiamiMarlins
St.LouisCardinals,MilwaukeeBrewers
ArizonaD'Backs,NewYorkMets
WashingtonNationals,PittsburghPirates
AtlantaBraves,SanDiegoPadres
HoustonAstros,SeattleMariners
LosAngelesAngels,TexasRangers
OaklandAthletics,TorontoBlueJays
NewYorkYankees,BaltimoreOrioles
MinnesotaTwins,BostonRedSox
TampaBayRays,ChicagoWhiteSox
SanFranciscoGiants,ClevelandGuardians
ChicagoCubs,ColoradoRockies
DetroitTigers,KansasCityRoyals
CincinnatiReds,LosAngelesDodgers
PhiladelphiaPhillies,MiamiMarlins
St.LouisCardinals,MilwaukeeBrewers
ArizonaD'Backs,NewYorkMets
WashingtonNationals,PittsburghPirates
AtlantaBraves,SanDiegoPadres
HoustonAstros,SeattleMariners
LosAngelesAngels,TexasRangers
OaklandAthletics,TorontoBlueJays
NewYorkYankees,BaltimoreOrioles
MinnesotaTwins,BostonRedSox
TampaBayRays,ChicagoWhiteSox
SanFranciscoGiants,ClevelandGuardians
ChicagoCubs,ColoradoRockies
CincinnatiReds,LosAngelesDodgers
PhiladelphiaPhillies,MiamiMarlins
St.LouisCardinals,MilwaukeeBrewers
ArizonaD'Backs,NewYorkMets
WashingtonNationals,PittsburghPirates
AtlantaBraves,SanDiegoPadres
HoustonAstros,SeattleMariners
LosAngelesAngels,TexasRangers
OaklandAthletics,TorontoBlueJays
MinnesotaTwins,BostonRedSox
TampaBayRays,ChicagoCubs
PhiladelphiaPhillies,ColoradoRockies
LosAngelesAngels,HoustonAstros
AtlantaBraves,LosAngelesDodgers
PittsburghPirates,MilwaukeeBrewers
BaltimoreOrioles,OaklandAthletics
CincinnatiReds,SanDiegoPadres
TorontoBlueJays,BostonRedSox
TampaBayRays,ChicagoCubs
PhiladelphiaPhillies,ColoradoRockies
NewYorkYankees,DetroitTigers
LosAngelesAngels,HoustonAstros
MinnesotaTwins,KansasCityRoyals
AtlantaBraves,LosAngelesDodgers
St.LouisCardinals,MiamiMarlins
PittsburghPirates,MilwaukeeBrewers
SanFranciscoGiants,NewYorkMets
SanFranciscoGiants,NewYorkMets
BaltimoreOrioles,OaklandAthletics
CincinnatiReds,SanDiegoPadres
TexasRangers,SeattleMariners
ArizonaD'Backs,WashingtonNationals
ArizonaD'Backs,WashingtonNationals
TorontoBlueJays,BostonRedSox
TampaBayRays,ChicagoCubs
ChicagoWhiteSox,ClevelandGuardians
ChicagoWhiteSox,ClevelandGuardians
PhiladelphiaPhillies,ColoradoRockies
NewYorkYankees,DetroitTigers
LosAngelesAngels,HoustonAstros
MinnesotaTwins,KansasCityRoyals
AtlantaBraves,LosAngelesDodgers
St.LouisCardinals,MiamiMarlins
PittsburghPirates,MilwaukeeBrewers
SanFranciscoGiants,NewYorkMets
BaltimoreOrioles,OaklandAthletics
CincinnatiReds,SanDiegoPadres
TexasRangers,SeattleMariners
ArizonaD'Backs,WashingtonNationals
TorontoBlueJays,BostonRedSox
PittsburghPirates,ChicagoCubs
ChicagoWhiteSox,ClevelandGuardians
NewYorkYankees,DetroitTigers
MinnesotaTwins,KansasCityRoyals
St.LouisCardinals,MiamiMarlins
SanFranciscoGiants,NewYorkMets
BaltimoreOrioles,OaklandAthletics
TexasRangers,SeattleMariners
ArizonaD'Backs,WashingtonNationals
BaltimoreOrioles,LosAngelesAngels
NewYorkMets,ArizonaD'Backs
MiamiMarlins,AtlantaBraves
PittsburghPirates,ChicagoCubs
St.LouisCardinals,CincinnatiReds
TorontoBlueJays,HoustonAstros
ChicagoWhiteSox,MinnesotaTwins
ClevelandGuardians,NewYorkYankees
TexasRangers,OaklandAthletics
MilwaukeeBrewers,PhiladelphiaPhillies
LosAngelesDodgers,SanDiegoPadres
KansasCityRoyals,SeattleMariners
BostonRedSox,TampaBayRays
SanFranciscoGiants,WashingtonNationals
BaltimoreOrioles,LosAngelesAngels
NewYorkMets,ArizonaD'Backs
MiamiMarlins,AtlantaBraves
PittsburghPirates,ChicagoCubs
St.LouisCardinals,CincinnatiReds
ColoradoRockies,DetroitTigers
ColoradoRockies,DetroitTigers
TorontoBlueJays,HoustonAstros
ChicagoWhiteSox,MinnesotaTwins
ClevelandGuardians,NewYorkYankees
TexasRangers,OaklandAthletics
MilwaukeeBrewers,PhiladelphiaPhillies
LosAngelesDodgers,SanDiegoPadres
KansasCityRoyals,SeattleMariners
BostonRedSox,TampaBayRays
SanFranciscoGiants,WashingtonNationals
BaltimoreOrioles,LosAngelesAngels
NewYorkMets,ArizonaD'Backs
MiamiMarlins,AtlantaBraves
PittsburghPirates,ChicagoCubs
St.LouisCardinals,CincinnatiReds
ColoradoRockies,DetroitTigers
TorontoBlueJays,HoustonAstros
ChicagoWhiteSox,MinnesotaTwins
ClevelandGuardians,NewYorkYankees
TexasRangers,OaklandAthletics
MilwaukeeBrewers,PhiladelphiaPhillies
LosAngelesDodgers,SanDiegoPadres
KansasCityRoyals,SeattleMariners
BostonRedSox,TampaBayRays
SanFranciscoGiants,WashingtonNationals
ClevelandGuardians,LosAngelesAngels
LosAngelesDodgers,ArizonaD'Backs
SanFranciscoGiants,MilwaukeeBrewers
ColoradoRockies,PhiladelphiaPhillies
NewYorkMets,St.LouisCardinals
HoustonAstros,TexasRangers
BostonRedSox,TorontoBlueJays
ClevelandGuardians,LosAngelesAngels
LosAngelesDodgers,ArizonaD'Backs
ChicagoCubs,AtlantaBraves
KansasCityRoyals,ChicagoWhiteSox
SanDiegoPadres,CincinnatiReds
DetroitTigers,MinnesotaTwins
BaltimoreOrioles,NewYorkYankees
ColoradoRockies,PhiladelphiaPhillies
MilwaukeeBrewers,PittsburghPirates
OaklandAthletics,SanFranciscoGiants
NewYorkMets,St.LouisCardinals
SeattleMariners,TampaBayRays
HoustonAstros,TexasRangers
BostonRedSox,TorontoBlueJays
MiamiMarlins,WashingtonNationals
ClevelandGuardians,LosAngelesAngels
LosAngelesDodgers,ArizonaD'Backs
ChicagoCubs,AtlantaBraves
KansasCityRoyals,ChicagoWhiteSox
SanDiegoPadres,CincinnatiReds
DetroitTigers,MinnesotaTwins
BaltimoreOrioles,NewYorkYankees
ColoradoRockies,PhiladelphiaPhillies
MilwaukeeBrewers,PittsburghPirates
OaklandAthletics,SanFranciscoGiants
NewYorkMets,St.LouisCardinals
SeattleMariners,TampaBayRays
HoustonAstros,TexasRangers
BostonRedSox,TorontoBlueJays
MiamiMarlins,WashingtonNationals
ClevelandGuardians,LosAngelesAngels
ChicagoCubs,AtlantaBraves
KansasCityRoyals,ChicagoWhiteSox
SanDiegoPadres,CincinnatiReds
DetroitTigers,MinnesotaTwins
BaltimoreOrioles,NewYorkYankees
ColoradoRockies,PhiladelphiaPhillies
MilwaukeeBrewers,PittsburghPirates
ArizonaD'Backs,St.LouisCardinals
SeattleMariners,TampaBayRays
HoustonAstros,TexasRangers
BostonRedSox,TorontoBlueJays
MiamiMarlins,WashingtonNationals
BostonRedSox,BaltimoreOrioles
LosAngelesAngels,ChicagoWhiteSox
CincinnatiReds,ColoradoRockies
NewYorkYankees,KansasCityRoyals
DetroitTigers,LosAngelesDodgers
SeattleMariners,MiamiMarlins
ChicagoCubs,MilwaukeeBrewers
PhiladelphiaPhillies,NewYorkMets
ClevelandGuardians,OaklandAthletics
SanDiegoPadres,PittsburghPirates
WashingtonNationals,SanFranciscoGiants
ArizonaD'Backs,St.LouisCardinals
MinnesotaTwins,TampaBayRays
AtlantaBraves,TexasRangers
HoustonAstros,TorontoBlueJays
BostonRedSox,BaltimoreOrioles
LosAngelesAngels,ChicagoWhiteSox
CincinnatiReds,ColoradoRockies
NewYorkYankees,KansasCityRoyals
DetroitTigers,LosAngelesDodgers
SeattleMariners,MiamiMarlins
ChicagoCubs,MilwaukeeBrewers
PhiladelphiaPhillies,NewYorkMets
ClevelandGuardians,OaklandAthletics
SanDiegoPadres,PittsburghPirates
WashingtonNationals,SanFranciscoGiants
ArizonaD'Backs,St.LouisCardinals
MinnesotaTwins,TampaBayRays
AtlantaBraves,TexasRangers
HoustonAstros,TorontoBlueJays
BostonRedSox,BaltimoreOrioles
LosAngelesAngels,ChicagoWhiteSox
CincinnatiReds,ColoradoRockies
NewYorkYankees,KansasCityRoyals
DetroitTigers,LosAngelesDodgers
SeattleMariners,MiamiMarlins
ChicagoCubs,MilwaukeeBrewers
PhiladelphiaPhillies,NewYorkMets
ClevelandGuardians,OaklandAthletics
SanDiegoPadres,PittsburghPirates
WashingtonNationals,SanFranciscoGiants
ArizonaD'Backs,St.LouisCardinals
MinnesotaTwins,TampaBayRays
AtlantaBraves,TexasRangers
HoustonAstros,TorontoBlueJays
MinnesotaTwins,BaltimoreOrioles
LosAngelesAngels,ChicagoWhiteSox
SeattleMariners,HoustonAstros
ArizonaD'Backs,MiamiMarlins
AtlantaBraves,NewYorkMets
TampaBayRays,OaklandAthletics
KansasCityRoyals,St.LouisCardinals
NewYorkYankees,TorontoBlueJays
MinnesotaTwins,BaltimoreOrioles
LosAngelesAngels,BostonRedSox
ChicagoWhiteSox,ChicagoCubs
WashingtonNationals,ColoradoRockies
SeattleMariners,HoustonAstros
St.LouisCardinals,KansasCityRoyals
SanFranciscoGiants,LosAngelesDodgers
ArizonaD'Backs,MiamiMarlins
CincinnatiReds,MilwaukeeBrewers
AtlantaBraves,NewYorkMets
AtlantaBraves,NewYorkMets
TampaBayRays,OaklandAthletics
TexasRangers,PhiladelphiaPhillies
NewYorkYankees,TorontoBlueJays
MinnesotaTwins,BaltimoreOrioles
LosAngelesAngels,BostonRedSox
ChicagoWhiteSox,ChicagoCubs
SanDiegoPadres,ClevelandGuardians
SanDiegoPadres,ClevelandGuardians
WashingtonNationals,ColoradoRockies
PittsburghPirates,DetroitTigers
PittsburghPirates,DetroitTigers
SeattleMariners,HoustonAstros
St.LouisCardinals,KansasCityRoyals
SanFranciscoGiants,LosAngelesDodgers
ArizonaD'Backs,MiamiMarlins
CincinnatiReds,MilwaukeeBrewers
AtlantaBraves,NewYorkMets
TampaBayRays,OaklandAthletics
TexasRangers,PhiladelphiaPhillies
NewYorkYankees,TorontoBlueJays
MinnesotaTwins,BaltimoreOrioles
LosAngelesAngels,BostonRedSox
TorontoBlueJays,ClevelandGuardians
WashingtonNationals,ColoradoRockies
DetroitTigers,HoustonAstros
CincinnatiReds,MilwaukeeBrewers
NewYorkMets,PhiladelphiaPhillies
MiamiMarlins,SanDiegoPadres
TampaBayRays,SeattleMariners
St.LouisCardinals,SanFranciscoGiants
WashingtonNationals,LosAngelesAngels
ColoradoRockies,ArizonaD'Backs
MilwaukeeBrewers,AtlantaBraves
ChicagoWhiteSox,BostonRedSox
DetroitTigers,HoustonAstros
OaklandAthletics,MinnesotaTwins
MiamiMarlins,SanDiegoPadres
TampaBayRays,SeattleMariners
St.LouisCardinals,SanFranciscoGiants
WashingtonNationals,LosAngelesAngels
ColoradoRockies,ArizonaD'Backs
MilwaukeeBrewers,AtlantaBraves
ChicagoWhiteSox,BostonRedSox
LosAngelesDodgers,ChicagoCubs
LosAngelesDodgers,ChicagoCubs
PittsburghPirates,CincinnatiReds
PittsburghPirates,CincinnatiReds
TorontoBlueJays,ClevelandGuardians
TorontoBlueJays,ClevelandGuardians
DetroitTigers,HoustonAstros
OaklandAthletics,MinnesotaTwins
MiamiMarlins,SanDiegoPadres
TampaBayRays,SeattleMariners
St.LouisCardinals,SanFranciscoGiants
WashingtonNationals,LosAngelesAngels
ColoradoRockies,ArizonaD'Backs
MilwaukeeBrewers,AtlantaBraves
KansasCityRoyals,BaltimoreOrioles
KansasCityRoyals,BaltimoreOrioles
ChicagoWhiteSox,BostonRedSox
LosAngelesDodgers,ChicagoCubs
PittsburghPirates,CincinnatiReds
TorontoBlueJays,ClevelandGuardians
DetroitTigers,HoustonAstros
OaklandAthletics,MinnesotaTwins
TexasRangers,NewYorkYankees
TexasRangers,NewYorkYankees
NewYorkMets,PhiladelphiaPhillies
NewYorkMets,PhiladelphiaPhillies
MiamiMarlins,SanDiegoPadres
TampaBayRays,SeattleMariners
St.LouisCardinals,SanFranciscoGiants
TampaBayRays,LosAngelesAngels
MiamiMarlins,ArizonaD'Backs
KansasCityRoyals,BaltimoreOrioles
ClevelandGuardians,ChicagoWhiteSox
MilwaukeeBrewers,CincinnatiReds
OaklandAthletics,DetroitTigers
TexasRangers,NewYorkYankees
LosAngelesDodgers,PittsburghPirates
ChicagoCubs,SanDiegoPadres
PhiladelphiaPhillies,SeattleMariners
ColoradoRockies,SanFranciscoGiants
TampaBayRays,LosAngelesAngels
MiamiMarlins,ArizonaD'Backs
BostonRedSox,AtlantaBraves
ClevelandGuardians,ChicagoWhiteSox
MilwaukeeBrewers,CincinnatiReds
OaklandAthletics,DetroitTigers
OaklandAthletics,DetroitTigers
HoustonAstros,MinnesotaTwins
TorontoBlueJays,NewYorkYankees
LosAngelesDodgers,PittsburghPirates
ChicagoCubs,SanDiegoPadres
PhiladelphiaPhillies,SeattleMariners
ColoradoRockies,SanFranciscoGiants
BaltimoreOrioles,St.LouisCardinals
KansasCityRoyals,TexasRangers
NewYorkMets,WashingtonNationals
TampaBayRays,LosAngelesAngels
MiamiMarlins,ArizonaD'Backs
BostonRedSox,AtlantaBraves
MilwaukeeBrewers,CincinnatiReds
OaklandAthletics,DetroitTigers
HoustonAstros,MinnesotaTwins
TorontoBlueJays,NewYorkYankees
LosAngelesDodgers,PittsburghPirates
ChicagoCubs,SanDiegoPadres
PhiladelphiaPhillies,SeattleMariners
ColoradoRockies,SanFranciscoGiants
BaltimoreOrioles,St.LouisCardinals
KansasCityRoyals,TexasRangers
NewYorkMets,WashingtonNationals
NewYorkYankees,ChicagoWhiteSox
OaklandAthletics,DetroitTigers
PhiladelphiaPhillies,LosAngelesDodgers
HoustonAstros,MinnesotaTwins
CincinnatiReds,PittsburghPirates
BaltimoreOrioles,St.LouisCardinals
KansasCityRoyals,TexasRangers
NewYorkMets,WashingtonNationals
ChicagoCubs,ArizonaD'Backs
SanDiegoPadres,AtlantaBraves
NewYorkYankees,ChicagoWhiteSox
KansasCityRoyals,ColoradoRockies
BaltimoreOrioles,DetroitTigers
PhiladelphiaPhillies,LosAngelesDodgers
MilwaukeeBrewers,MiamiMarlins
ClevelandGuardians,MinnesotaTwins
SeattleMariners,NewYorkMets
LosAngelesAngels,OaklandAthletics
CincinnatiReds,PittsburghPirates
SanFranciscoGiants,St.LouisCardinals
TorontoBlueJays,TampaBayRays
BostonRedSox,TexasRangers
HoustonAstros,WashingtonNationals
ChicagoCubs,ArizonaD'Backs
SanDiegoPadres,AtlantaBraves
NewYorkYankees,ChicagoWhiteSox
KansasCityRoyals,ColoradoRockies
BaltimoreOrioles,DetroitTigers
PhiladelphiaPhillies,LosAngelesDodgers
MilwaukeeBrewers,MiamiMarlins
ClevelandGuardians,MinnesotaTwins
SeattleMariners,NewYorkMets
LosAngelesAngels,OaklandAthletics
LosAngelesAngels,OaklandAthletics
CincinnatiReds,PittsburghPirates
SanFranciscoGiants,St.LouisCardinals
TorontoBlueJays,TampaBayRays
BostonRedSox,TexasRangers
HoustonAstros,WashingtonNationals
ChicagoCubs,ArizonaD'Backs
SanDiegoPadres,AtlantaBraves
NewYorkYankees,ChicagoWhiteSox
KansasCityRoyals,ColoradoRockies
BaltimoreOrioles,DetroitTigers
PhiladelphiaPhillies,LosAngelesDodgers
MilwaukeeBrewers,MiamiMarlins
ClevelandGuardians,MinnesotaTwins
SeattleMariners,NewYorkMets
LosAngelesAngels,OaklandAthletics
CincinnatiReds,PittsburghPirates
SanFranciscoGiants,St.LouisCardinals
TorontoBlueJays,TampaBayRays
BostonRedSox,TexasRangers
HoustonAstros,WashingtonNationals
NewYorkYankees,BaltimoreOrioles
HoustonAstros,BostonRedSox
PittsburghPirates,ChicagoCubs
SanFranciscoGiants,ColoradoRockies
ChicagoWhiteSox,KansasCityRoyals
ArizonaD'Backs,LosAngelesDodgers
WashingtonNationals,MiamiMarlins
AtlantaBraves,MilwaukeeBrewers
MinnesotaTwins,OaklandAthletics
DetroitTigers,TampaBayRays
LosAngelesAngels,TexasRangers
SeattleMariners,TorontoBlueJays
NewYorkYankees,BaltimoreOrioles
HoustonAstros,BostonRedSox
PittsburghPirates,ChicagoCubs
CincinnatiReds,ClevelandGuardians
SanFranciscoGiants,ColoradoRockies
ChicagoWhiteSox,KansasCityRoyals
ChicagoWhiteSox,KansasCityRoyals
ArizonaD'Backs,LosAngelesDodgers
ArizonaD'Backs,LosAngelesDodgers
WashingtonNationals,MiamiMarlins
AtlantaBraves,MilwaukeeBrewers
St.LouisCardinals,NewYorkMets
St.LouisCardinals,NewYorkMets
MinnesotaTwins,OaklandAthletics
SanDiegoPadres,PhiladelphiaPhillies
DetroitTigers,TampaBayRays
LosAngelesAngels,TexasRangers
SeattleMariners,TorontoBlueJays
NewYorkYankees,BaltimoreOrioles
HoustonAstros,BostonRedSox
PittsburghPirates,ChicagoCubs
SanFranciscoGiants,ColoradoRockies
ChicagoWhiteSox,KansasCityRoyals
ArizonaD'Backs,LosAngelesDodgers
WashingtonNationals,MiamiMarlins
AtlantaBraves,MilwaukeeBrewers
St.LouisCardinals,NewYorkMets
MinnesotaTwins,OaklandAthletics
SanDiegoPadres,PhiladelphiaPhillies
DetroitTigers,TampaBayRays
LosAngelesAngels,TexasRangers
SeattleMariners,TorontoBlueJays
NewYorkYankees,BaltimoreOrioles
SeattleMariners,BostonRedSox
ArizonaD'Backs,ChicagoCubs
CincinnatiReds,ClevelandGuardians
TexasRangers,HoustonAstros
ChicagoWhiteSox,KansasCityRoyals
St.LouisCardinals,NewYorkMets
SanDiegoPadres,PhiladelphiaPhillies
OaklandAthletics,LosAngelesAngels
TampaBayRays,BaltimoreOrioles
SeattleMariners,BostonRedSox
ArizonaD'Backs,ChicagoCubs
DetroitTigers,ClevelandGuardians
TexasRangers,HoustonAstros
MinnesotaTwins,KansasCityRoyals
AtlantaBraves,MiamiMarlins
WashingtonNationals,MilwaukeeBrewers
LosAngelesDodgers,PhiladelphiaPhillies
St.LouisCardinals,PittsburghPirates
SanDiegoPadres,SanFranciscoGiants
CincinnatiReds,TorontoBlueJays
OaklandAthletics,LosAngelesAngels
TampaBayRays,BaltimoreOrioles
SeattleMariners,BostonRedSox
ArizonaD'Backs,ChicagoCubs
NewYorkMets,ColoradoRockies
NewYorkMets,ColoradoRockies
TexasRangers,HoustonAstros
MinnesotaTwins,KansasCityRoyals
AtlantaBraves,MiamiMarlins
WashingtonNationals,MilwaukeeBrewers
ChicagoWhiteSox,NewYorkYankees
LosAngelesDodgers,PhiladelphiaPhillies
St.LouisCardinals,PittsburghPirates
SanDiegoPadres,SanFranciscoGiants
CincinnatiReds,TorontoBlueJays
OaklandAthletics,LosAngelesAngels
TampaBayRays,BaltimoreOrioles
SeattleMariners,BostonRedSox
ArizonaD'Backs,ChicagoCubs
DetroitTigers,ClevelandGuardians
NewYorkMets,ColoradoRockies
TexasRangers,HoustonAstros
MinnesotaTwins,KansasCityRoyals
AtlantaBraves,MiamiMarlins
WashingtonNationals,MilwaukeeBrewers
ChicagoWhiteSox,NewYorkYankees
ChicagoWhiteSox,NewYorkYankees
LosAngelesDodgers,PhiladelphiaPhillies
St.LouisCardinals,PittsburghPirates
SanDiegoPadres,SanFranciscoGiants
CincinnatiReds,TorontoBlueJays
KansasCityRoyals,ArizonaD'Backs
PhiladelphiaPhillies,AtlantaBraves
ChicagoCubs,CincinnatiReds
ClevelandGuardians,HoustonAstros
DetroitTigers,MinnesotaTwins
BaltimoreOrioles,NewYorkYankees
ColoradoRockies,PittsburghPirates
MilwaukeeBrewers,SanDiegoPadres
OaklandAthletics,SeattleMariners
NewYorkMets,SanFranciscoGiants
TorontoBlueJays,St.LouisCardinals
LosAngelesDodgers,WashingtonNationals
TexasRangers,LosAngelesAngels
KansasCityRoyals,ArizonaD'Backs
PhiladelphiaPhillies,AtlantaBraves
BostonRedSox,ChicagoWhiteSox
ChicagoCubs,CincinnatiReds
ClevelandGuardians,HoustonAstros
DetroitTigers,MinnesotaTwins
BaltimoreOrioles,NewYorkYankees
ColoradoRockies,PittsburghPirates
MilwaukeeBrewers,SanDiegoPadres
OaklandAthletics,SeattleMariners
NewYorkMets,SanFranciscoGiants
TorontoBlueJays,St.LouisCardinals
MiamiMarlins,TampaBayRays
LosAngelesDodgers,WashingtonNationals
TexasRangers,LosAngelesAngels
PhiladelphiaPhillies,AtlantaBraves
BostonRedSox,ChicagoWhiteSox
ChicagoCubs,CincinnatiReds
ClevelandGuardians,HoustonAstros
DetroitTigers,MinnesotaTwins
BaltimoreOrioles,NewYorkYankees
ColoradoRockies,PittsburghPirates
MilwaukeeBrewers,SanDiegoPadres
OaklandAthletics,SeattleMariners
NewYorkMets,SanFranciscoGiants
MiamiMarlins,TampaBayRays
LosAngelesDodgers,WashingtonNationals
TorontoBlueJays,LosAngelesAngels
LosAngelesDodgers,ArizonaD'Backs
PhiladelphiaPhillies,AtlantaBraves
BostonRedSox,ChicagoWhiteSox
ChicagoCubs,CincinnatiReds
ClevelandGuardians,DetroitTigers
KansasCityRoyals,MinnesotaTwins
TexasRangers,OaklandAthletics
MilwaukeeBrewers,St.LouisCardinals
NewYorkYankees,TampaBayRays
ColoradoRockies,WashingtonNationals
TorontoBlueJays,LosAngelesAngels
LosAngelesDodgers,ArizonaD'Backs
MiamiMarlins,AtlantaBraves
BaltimoreOrioles,BostonRedSox
SanFranciscoGiants,CincinnatiReds
KansasCityRoyals,MinnesotaTwins
PhiladelphiaPhillies,NewYorkMets
TexasRangers,OaklandAthletics
PittsburghPirates,SanDiegoPadres
HoustonAstros,SeattleMariners
MilwaukeeBrewers,St.LouisCardinals
NewYorkYankees,TampaBayRays
TorontoBlueJays,LosAngelesAngels
LosAngelesDodgers,ArizonaD'Backs
MiamiMarlins,AtlantaBraves
BaltimoreOrioles,BostonRedSox
BaltimoreOrioles,BostonRedSox
ChicagoCubs,ChicagoWhiteSox
SanFranciscoGiants,CincinnatiReds
ClevelandGuardians,DetroitTigers
KansasCityRoyals,MinnesotaTwins
PhiladelphiaPhillies,NewYorkMets
TexasRangers,OaklandAthletics
PittsburghPirates,SanDiegoPadres
HoustonAstros,SeattleMariners
MilwaukeeBrewers,St.LouisCardinals
NewYorkYankees,TampaBayRays
ColoradoRockies,WashingtonNationals
ColoradoRockies,WashingtonNationals
TorontoBlueJays,LosAngelesAngels
LosAngelesDodgers,ArizonaD'Backs
MiamiMarlins,AtlantaBraves
BaltimoreOrioles,BostonRedSox
ChicagoCubs,ChicagoWhiteSox
SanFranciscoGiants,CincinnatiReds
ClevelandGuardians,DetroitTigers
KansasCityRoyals,MinnesotaTwins
PhiladelphiaPhillies,NewYorkMets
TexasRangers,OaklandAthletics
PittsburghPirates,SanDiegoPadres
HoustonAstros,SeattleMariners
MilwaukeeBrewers,St.LouisCardinals
NewYorkYankees,TampaBayRays
ColoradoRockies,WashingtonNationals
AtlantaBraves,ArizonaD'Backs
BaltimoreOrioles,BostonRedSox
MilwaukeeBrewers,ChicagoCubs
MilwaukeeBrewers,ChicagoCubs
KansasCityRoyals,ClevelandGuardians
MiamiMarlins,ColoradoRockies
MinnesotaTwins,DetroitTigers
PittsburghPirates,LosAngelesDodgers
WashingtonNationals,NewYorkMets
HoustonAstros,OaklandAthletics
SanFranciscoGiants,PhiladelphiaPhillies
SanDiegoPadres,St.LouisCardinals
TampaBayRays,TexasRangers
AtlantaBraves,ArizonaD'Backs
SeattleMariners,BaltimoreOrioles
CincinnatiReds,BostonRedSox
MilwaukeeBrewers,ChicagoCubs
KansasCityRoyals,ClevelandGuardians
MinnesotaTwins,DetroitTigers
MinnesotaTwins,DetroitTigers
PittsburghPirates,LosAngelesDodgers
